## Type: detector
## Name: QE Edivent SilVIR blue shifted detector
wavelength,qe
886,0.044629905
887,0.044614871
888,0.043529969
889,0.042891022
890,0.042783517
891,0.042009595
892,0.041296529
893,0.041216931
894,0.041237149
895,0.04097261
896,0.040097325
897,0.038847441
898,0.037635011
