#Type: filter
#Name: HC 520/35 AHF F37-520
wavelength,transmission
384.4,8.8605E-07
384.6,8.9458E-07
384.8,9.032E-07
385,9.119E-07
385.2,9.2068E-07
385.4,9.2954E-07
385.6,9.385E-07
385.8,9.4753E-07
386,9.5666E-07
386.2,9.6587E-07
386.4,9.7518E-07
386.6,9.8457E-07
386.8,9.9405E-07
387,1.0068E-06
387.2,1.0224E-06
387.4,1.0382E-06
387.6,1.0543E-06
387.8,1.0706E-06
388,1.0872E-06
388.2,0.000001104
388.4,1.1211E-06
388.6,1.1385E-06
388.8,1.1561E-06
389,0.000001174
389.2,1.1922E-06
389.4,1.2106E-06
389.6,1.2294E-06
389.8,1.2484E-06
390,1.2678E-06
390.2,1.3122E-06
390.4,1.3583E-06
390.6,1.4059E-06
390.8,1.4552E-06
391,1.5063E-06
391.2,1.5591E-06
391.4,1.6138E-06
391.6,1.6704E-06
391.8,0.000001729
392,1.7897E-06
392.2,1.8524E-06
392.4,1.9174E-06
392.6,1.9847E-06
392.8,2.0543E-06
393,2.0803E-06
393.2,2.0939E-06
393.4,2.1077E-06
393.6,2.1215E-06
393.8,2.1354E-06
394,2.1495E-06
394.2,2.1636E-06
394.4,2.1778E-06
394.6,2.1921E-06
394.8,2.2065E-06
395,0.000002221
395.2,2.2355E-06
395.4,2.2502E-06
395.6,0.000002265
395.8,2.2799E-06
396,2.2948E-06
396.2,2.3099E-06
396.4,2.3251E-06
396.6,2.3403E-06
396.8,2.3557E-06
397,2.3237E-06
397.2,2.2537E-06
397.4,2.1858E-06
397.6,2.1199E-06
397.8,0.000002056
398,1.9941E-06
398.2,0.000001934
398.4,1.8757E-06
398.6,1.8192E-06
398.8,1.7644E-06
399,1.7112E-06
399.2,1.6597E-06
399.4,1.6097E-06
399.6,1.5612E-06
399.8,1.5141E-06
400,1.4685E-06
400.2,0.000001501
400.4,1.5342E-06
400.6,1.5681E-06
400.8,1.6028E-06
401,1.6382E-06
401.2,1.6745E-06
401.4,1.7115E-06
401.6,1.7493E-06
401.8,0.000001788
402,1.8276E-06
402.2,0.000001868
402.4,1.9093E-06
402.6,1.9515E-06
402.8,1.9947E-06
403,2.0525E-06
403.2,2.1166E-06
403.4,2.1826E-06
403.6,2.2508E-06
403.8,2.3211E-06
404,2.3935E-06
404.2,2.4683E-06
404.4,2.5453E-06
404.6,2.6248E-06
404.8,2.7067E-06
405,2.7913E-06
405.2,2.8784E-06
405.4,2.9683E-06
405.6,3.0609E-06
405.8,3.1565E-06
406,3.2551E-06
406.2,3.3567E-06
406.4,3.4615E-06
406.6,3.5696E-06
406.8,0.000003681
407,3.7073E-06
407.2,3.6548E-06
407.4,3.6031E-06
407.6,3.5521E-06
407.8,3.5018E-06
408,3.4522E-06
408.2,3.4033E-06
408.4,3.3552E-06
408.6,3.3077E-06
408.8,3.2608E-06
409,3.2147E-06
409.2,3.1692E-06
409.4,3.1243E-06
409.6,3.0801E-06
409.8,3.0365E-06
410,2.9935E-06
410.2,2.9821E-06
410.4,2.9708E-06
410.6,2.9595E-06
410.8,2.9483E-06
411,2.9371E-06
411.2,2.9259E-06
